Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.03, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.03) is:   1.03
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.00, 0.03, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of (-0.01, 0.02, 1.00) is:   1.00
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.03, 0.99) is:   0.99
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.00) is:   1.00
Magnitude of ( 0.01, 0.04, 0.99) is:   0.99
Magnitude of ( 0.01, 0.04, 1.00) is:   1.00
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.04) is:   1.05
Magnitude of ( 0.02, 0.05, 1.05) is:   1.05
Magnitude of ( 0.02, 0.04, 1.05) is:   1.05
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 0.99) is:   0.99
Magnitude of ( 0.01, 0.04, 0.99) is:   0.99
Magnitude of ( 0.01, 0.04, 0.99) is:   0.99
Magnitude of ( 0.01, 0.06, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.05, 1.03) is:   1.03
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.00) is:   1.00
Magnitude of ( 0.01, 0.05, 0.99) is:   0.99
Magnitude of ( 0.01, 0.05, 1.00) is:   1.00
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.00) is:   1.00
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.03, 0.05, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.06, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.03, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.03, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.00, 0.03, 0.99) is:   0.99
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.03, 0.99) is:   0.99
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.03, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.03, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.03, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.03, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.03, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.03, 0.06, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.05, 1.03) is:   1.03
Magnitude of ( 0.02, 0.05, 1.03) is:   1.03
Magnitude of ( 0.01, 0.05, 1.03) is:   1.03
Magnitude of ( 0.01, 0.05, 1.03) is:   1.03
Magnitude of ( 0.01, 0.05, 1.03) is:   1.03
Magnitude of ( 0.02, 0.05, 1.03) is:   1.03
Magnitude of ( 0.00, 0.03, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.03, 0.99) is:   0.99
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 0.99) is:   0.99
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.03, 0.06, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.03) is:   1.03
Magnitude of ( 0.02, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.03, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.00) is:   1.00
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.03, 0.06, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.00) is:   1.00
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.06, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of (-0.01, 0.03, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of (-0.01, 0.03, 0.99) is:   0.99
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.03, 0.99) is:   0.99
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.03, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.03, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.06, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.00, 0.03, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.00, 0.03, 0.99) is:   0.99
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.03, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.02, 0.99) is:   0.99
Magnitude of ( 0.03, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.00) is:   1.00
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.03) is:   1.03
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.03) is:   1.03
Magnitude of ( 0.02, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.03, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.03) is:   1.03
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.00, 0.03, 1.00) is:   1.00
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.00, 0.02, 0.99) is:   0.99
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 0.99) is:   0.99
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.05, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.06, 1.02) is:   1.02
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.03) is:   1.03
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.01, 0.04, 1.02) is:   1.02
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.02, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.01, 0.04, 1.01) is:   1.01
Magnitude of ( 0.03, 0.05, 1.01) is:   1.01
Magnitude of ( 0.02, 0.05, 1.01) is:   1.01
